Carcass Drop,Site,Site_number,Habitat,Flood,Season,Species,Group Size,Date detected (by predator),Time detected,Date carcass laid,Time carcass laid,Total until dected,Discovery_time_hours,discovery_time_mins,arrival_time_mins
2SD,13,2SD13,Closed,Before Flood,Warm,LittleCrow,2,20/10/2018,15:42:01,10/10/2018,1:56:00 PM,241:46:01,241.8,14506,14506
2SD,14,2SD14,Open,Before Flood,Warm,LittleCrow,6,14/10/2018,8:55:15,10/10/2018,2:20:00 PM,90:35:15,90.6,5435,5435
2SD,16,2SD16,Open,Before Flood,Warm,LittleCrow,3,12/10/2018,9:01:02,10/10/2018,3:10:00 PM,41:51:02,41.9,2511,2511
2SD,17,2SD17,Closed,Before Flood,Warm,LittleCrow,1,9/11/2018,11:24:34,10/10/2018,3:30:00 PM,715:54:34,715.9,42955,42955
2SD,19,2SD19,Open,Before Flood,Warm,LittleCrow,5,14/10/2018,9:35:37,10/10/2018,5:36:00 PM,87:59:37,88.0,5280,5280
3SD,1,3SD1,Closed,After Flood,Cool,LittleCrow,2,22/06/2019,15:56:52,13/06/2019,10:33:00,221:23:52,221.4,13284,13284
3SD,2,3SD2,Open,After Flood,Cool,LittleCrow,1,19/06/2019,12:39:47,13/06/2019,11:07:00,145:32:47,145.5,8733,8733
3SD,3,3SD3,Closed,After Flood,Cool,LittleCrow,5,21/06/2019,17:28:28,13/06/2019,11:26:00,198:02:28,198.0,11882,11882
3SD,4,3SD4,Open,After Flood,Cool,LittleCrow,7,13/06/2019,12:45:45,13/06/2019,11:45:00,1:00:45,1.0,61,61
3SD,5,3SD5,Closed,After Flood,Cool,LittleCrow,2,3/07/2019,11:52:14,13/06/2019,12:10:00,479:42:14,479.7,28782,28782
3SD,6,3SD6,Open,After Flood,Cool,LittleCrow,9,16/06/2019,11:58:44,13/06/2019,12:32:00,71:26:44,71.4,4287,4287
3SD,7,3SD7,Closed,After Flood,Cool,LittleCrow,9,24/06/2019,13:10:21,13/06/2019,12:42:00,264:28:21,264.5,15868,15868
3SD,8,3SD8,Open,After Flood,Cool,LittleCrow,3,23/06/2019,9:54:25,13/06/2019,13:10:00,236:44:25,236.7,14204,14204
3SD,9,3SD9,Closed,After Flood,Cool,LittleCrow,2,20/06/2019,11:40:38,13/06/2019,13:24:00,166:16:38,166.3,9977,9977
3SD,10,3SD10,Closed,After Flood,Cool,LittleCrow,2,21/06/2019,7:56:55,13/06/2019,13:43:00,186:13:55,186.2,11174,11174
3SD,20,3SD20,Open,After Flood,Cool,LittleCrow,2,19/06/2019,12:47:14,13/06/2019,17:18:00,139:29:14,139.5,8369,8369
4SD,1,4SD1,Open,After Flood,Warm,LittleCrow,2,4/10/2019,9:04:41,24/09/2019,3:47:00 PM,233:17:41,233.3,13998,13998
4SD,2,4SD2,Closed,After Flood,Warm,LittleCrow,4,25/09/2019,8:52:36,24/09/2019,3:35:00 PM,17:17:36,17.3,1038,1038
4SD,3,4SD3,Closed,After Flood,Warm,LittleCrow,10,27/09/2019,9:48:43,24/09/2019,9:57:00 AM,71:51:43,71.9,4312,4312
4SD,4,4SD4,Open,After Flood,Warm,LittleCrow,11,25/09/2019,10:57:39,24/09/2019,10:16:00 AM,24:41:39,24.7,1482,1482
4SD,6,4SD6,Closed,After Flood,Warm,LittleCrow,2,24/09/2019,17:52:39,24/09/2019,11:05:00 AM,6:47:39,6.8,408,408
4SD,7,4SD7,Open,After Flood,Warm,LittleCrow,4,29/09/2019,7:07:57,24/09/2019,11:25:00 AM,115:42:57,115.7,6943,6943
4SD,8,4SD8,Open,After Flood,Warm,LittleCrow,1,28/09/2019,10:48:44,24/09/2019,11:45:00 AM,95:03:44,95.1,5704,5704
4SD,9,4SD9,Closed,After Flood,Warm,LittleCrow,6,28/09/2019,10:08:04,24/09/2019,12:05:00 PM,94:03:04,94.1,5643,5643
4SD,10,4SD10,Closed,After Flood,Warm,LittleCrow,2,25/09/2019,9:13:28,24/09/2019,12:20:00 PM,20:53:28,20.9,1253,1253
4SD,11,4SD11,Closed,After Flood,Warm,LittleCrow,2,26/09/2019,8:18:33,24/09/2019,12:35:00 PM,43:43:33,43.7,2624,2624
4SD,12,4SD12,Open,After Flood,Warm,LittleCrow,6,25/09/2019,12:48:05,24/09/2019,1:15:00 PM,23:33:05,23.6,1413,1413
